week,Movement,onemax
2001,Squat,145
2002,Squat,151
2003,Squat,159.9
2004,Squat,163.1
2005,Squat,167.7
2006,Squat,172.6
2007,Squat,171.8
2008,Squat,173.8
2009,Squat,162.5
2010,Squat,162.5
2011,Squat,178.4
2012,Squat,190
2013,Squat,195.9
2014,Squat,210.3
2015,Squat,190.6
2016,Squat,216.8
2017,Squat,216.7
2018,Squat,214.8
2019,Squat,209
2020,Squat,202
2021,Squat,210
2022,Squat,210
2023,Squat,210
2024,Squat,210
2025,Squat,202
2026,Squat,208
2027,Squat,203
2028,Squat,198
2029,Squat,210
2030,Squat,217
2031,Squat,215
2032,Squat,221
2033,Squat,223
2034,Squat,210
2035,Squat,230
2036,Squat,203
2037,Squat,210
2038,Squat,223
2039,Squat,230
2040,Squat,210
2041,Squat,210
2042,Squat,210.9
2043,Squat,217.2
2044,Squat,217.2
2045,Squat,220
2046,Squat,238.6
2047,Squat,238.6
2001,Bench,99.2
2002,Bench,108.8
2003,Bench,111
2004,Bench,117.1
2005,Bench,111
2006,Bench,113.5
2007,Bench,117.1
2008,Bench,114.3
2009,Bench,107.5
2010,Bench,119.5
2011,Bench,125.4
2012,Bench,130.2
2013,Bench,132.1
2014,Bench,133.3
2015,Bench,113.5
2016,Bench,132.1
2017,Bench,129.7
2018,Bench,125.3
2019,Bench,121
2020,Bench,110
2021,Bench,113.5
2022,Bench,121.3
2023,Bench,121.3
2024,Bench,121.3
2025,Bench,111.6
2026,Bench,119.1
2027,Bench,119.1
2028,Bench,119.1
2029,Bench,125
2030,Bench,127
2031,Bench,131.4
2032,Bench,131.4
2033,Bench,128.9
2034,Bench,126
2035,Bench,124.9
2036,Bench,125
2037,Bench,118.3
2038,Bench,133.2
2039,Bench,133
2040,Bench,133.2
2041,Bench,131.4
2042,Bench,128.9
2043,Bench,138.2
2044,Bench,140
2045,Bench,143.2
2046,Bench,143.2
2047,Bench,149.7
2001,Deadlift,197.3
2002,Deadlift,211
2003,Deadlift,216.8
2004,Deadlift,228
2005,Deadlift,216.5
2006,Deadlift,225.2
2007,Deadlift,204.7
2008,Deadlift,218.2
2009,Deadlift,203.7
2010,Deadlift,215.8
2011,Deadlift,229.3
2012,Deadlift,236.6
2013,Deadlift,230.6
2014,Deadlift,235.8
2015,Deadlift,242.2
2016,Deadlift,248
2017,Deadlift,237.8
2018,Deadlift,242.2
2019,Deadlift,237
2020,Deadlift,237
2021,Deadlift,212
2022,Deadlift,212
2023,Deadlift,212
2024,Deadlift,203
2025,Deadlift,220
2026,Deadlift,220
2027,Deadlift,226.7
2028,Deadlift,233.2
2029,Deadlift,198
2030,Deadlift,230
2031,Deadlift,230
2032,Deadlift,238.6
2033,Deadlift,226.7
2034,Deadlift,209
2035,Deadlift,245.1
2036,Deadlift,226.7
2037,Deadlift,245.1
2038,Deadlift,245.1
2039,Deadlift,226.7
2040,Deadlift,245.1
2041,Deadlift,226.7
2042,Deadlift,238.6
2043,Deadlift,245.1
2044,Deadlift,238.6
2045,Deadlift,245.1
2046,Deadlift,238.9
2047,Deadlift,238.9